Agronegocio;Trainee Originacao  Itiquira/MT;https //www.vagas.com.br/vagas/v2364247/trainee originacao itiquira mt;Trainee OriginacaoA area de Originacao e responsavel por realizar a compra de graos negociando junto aos produtores e apresentando propostas de acordo com a quantidade produzida logistica prazo para entrega qualidade entre outros. Esse processo comercial envolve acompanhar diariamente os produtores e o mercado de graos mantendo se atualizado sobre as mudancas do cenario regional e nacional. Atribuicoes  Participar do Programa Trainee realizando atividades do plano de desenvolvimento na area de originacao/comercializacao de graos. Requisitos Necessarios  Recem formados ate 3 anos em Gestao do Agronegocio Comercio Exterior Administracao Engenharia de Producao ou Curso Tecnico em Agronegocio e areas afins   Dominio do Pacote Office   Necessario possuir CNH categoria B.  Local de Trabalho Itiquira/MT. Duracao do Programa 1 ano. Fique atento nosso primeiro contato sera realizado por e mail.O programa tambem inclui  Experiencia Pratica  Tutoria  Assessment  Feedbacks  Plano de desenvolvimento.*Nossas oportunidades sao abertas para todos os profissionais sem distincao de raca cor genero idade crenca e deficiencia (PCD)*
Agronegocio;Trainee Originacao  Vilhena/RO;https //www.vagas.com.br/vagas/v2364252/trainee originacao vilhena ro;Trainee Originacao A area de Originacao e responsavel por realizar a compra de graos negociando junto aos produtores e apresentando propostas de acordo com a quantidade produzida logistica prazo para entrega qualidade entre outros. Esse processo comercial envolve acompanhar diariamente os produtores e o mercado de graos mantendo se atualizado sobre as mudancas do cenario regional e nacional. Atribuicoes   Participar do Programa Trainee realizando atividades do plano de desenvolvimento na area de originacao/comercializacao de graos. Requisitos Necessarios   Recem formados ate 3 anos em Gestao do Agronegocio Comercio Exterior Administracao Engenharia de Producao ou Curso Tecnico em Agronegocio e areas afins   Dominio do Pacote Office   Necessario possuir CNH categoria B. Local de Trabalho Vilhena/RO. Duracao do Programa 1 ano.  Fique atento nosso primeiro contato sera realizado por e mail. O programa tambem inclui   Experiencia Pratica   Tutoria   Assessment   Feedbacks   Plano de desenvolvimento. *Nossas oportunidades sao abertas para todos os profissionais sem distincao de raca cor genero idade crenca e deficiencia (PCD)*
Agronegocio;Trainee Originacao  Confresa/MT;https //www.vagas.com.br/vagas/v2364230/trainee originacao confresa mt;Trainee OriginacaoA area de Originacao e responsavel por realizar a compra de graos negociando junto aos produtores e apresentando propostas de acordo com a quantidade produzida logistica prazo para entrega qualidade entre outros. Esse processo comercial envolve acompanhar diariamente os produtores e o mercado de graos mantendo se atualizado sobre as mudancas do cenario regional e nacional.Atribuicoes   Participar do Programa Trainee realizando atividades do plano de desenvolvimento na area de originacao/comercializacao de graos. Requisitos Necessarios   Recem formados ate 3 anos em Gestao do Agronegocio Comercio Exterior Administracao Engenharia de Producao ou Curso Tecnico em Agronegocio e areas afins   Dominio do Pacote Office   Necessario possuir CNH categoria B. Local de Trabalho Confresa/MT. Duracao do Programa 1 ano. Fique atento nosso primeiro contato sera realizado por e mail.O programa tambem inclui  Experiencia Pratica  Tutoria  Assessment  Feedbacks  Plano de desenvolvimento.*Nossas oportunidades sao abertas para todos os profissionais sem distincao de raca cor genero idade crenca e deficiencia (PCD)*
Agronegocio;Banco de Curriculos  Profissionais da Agronomia;https //www.vagas.com.br/vagas/v2338871/banco de curriculos profissionais da agronomia;Venha fazer parte de uma das maiores Cooperativas do Agronegocio! Cadastre seu curriculo para futuras oportunidades para area Tecnica ou Comercial na area de Agronomia para os estados de Minas Gerais Sao Paulo e Goias.Outros requisitos Formacao Superior em Engenharia Agronomica Disponibilidade para viagens Vivencia na area tecnica e/ou comercial.
Agronegocio;Assistente de Compras;https //www.vagas.com.br/vagas/v2345987/assistente de compras;Realizar tarefas referentes ao suporte administrativo nos processos de compras dos diversos materiais utilizados na empresa de aplicacao direta e/ou indireta no produto final englobando emissao de pedidos de compra controles acompanhamento dos prazos de entrega cotacao de materiais de menor complexidade tecnica entre outros trabalhos correlatos. Excel nivel intermediario. Desejavel vivencia em agronegocio. Experiencia em sistema ERP Datasul sera considerado um diferencial. Trabalho 100% presencial.
Agronegocio;Assistente Comercial;https //www.vagas.com.br/vagas/v2367139/assistente comercial;Prestar assistencia nas atividades de Execucao (Logistica e Exportacao) realizando o controle de custos portuarios lancamento de instrucao propostas dos despachantes e geracao de ordem de compra processando as informacoes conforme acordado em contrato comercial e fornecedores visando seguir e cumprir conforme os procedimentos padrao da empresa e area auxiliar no controle de custos portuarios e rodoviarios.Outros requisitos  Ensino medio completo  Conhecimento em excel  Desejavel ensino superior em andamento em administracao gestao de agronegocios comercial entre outras areas correlatas.
Agronegocio;Gerente de Logistica;https //www.vagas.com.br/vagas/v2356207/gerente de logistica;de perfil Responsavel pela gestao do time de logistica com integracao junto as demais areas da companhia como customer service e industrial. Realizar acoes de melhoria continua na area para evolucao e amadurecimento do processo. Integracao com o mercado de agronegocio conhecimento em operacao de frete retorno e distribuicao de produto em usinas e fazendas. Gerenciar e reportar com indicadores da area bem como executar plano de acao efetivo para metas nao atingidas. Lideranca de time operacional direcionando e desenvolvendo as pessoas para uma alta performance e novas responsabilidades. Idiomas Ingles  Nivel Avancado
Agronegocio;Consultor Comercial Sr  Ribeirao Preto;https //www.vagas.com.br/vagas/v2379402/consultor comercial sr ribeirao preto;Responsavel pela prospeccao oferta das solucoes da Plataforma Broto atendimento e relacionamento negocial com parceiros comerciais.Prospeccao participacao de reunioes eventos e pontos de controle com os sellers Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers em conjunto com time de solucoes Ministrar treinamentos e apresentacoes Construcao e execucao de planos de acao comerciais junto a Rede BB Gestao Comercial da carteira de sellers.Articulacao junto aos intervenientes do Projeto Broto para atendimento dos SellersTer disponibilidade de viagem em toda a regiao Ribeirao Preto.Outros requisitos Desejavel conhecimento em Plataformas Digitais/ E commerce Marketing digital e agronegocio
Agronegocio;Consultor Comercial Senior (sc  Chapeco);https //www.vagas.com.br/vagas/v2379295/consultor comercial senior sc chapeco;Prospeccao participacao de reunioes eventos e pontos de controle com os sellers   Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers em conjunto com time de solucoes  Ministrar treinamentos e apresentacoes  Construcao e execucao de planos de acao comerciais junto a Rede BB  Gestao Comercial da carteira de sellers.  Articulacao junto aos intervenientes do Projeto Broto para atendimento dos Sellers  Outros requisitos  Formacao Superior Completa. Conhecimento na funcao com atuacao em administracao de vendas. Pacote Office Intermediario Conhecimento em Plataformas Digitais/ E commerce  Conhecimentos desejaveis marketing digital e agronegocio  Disponibilidade de Viagem para Estado de Santa Catarina.
Agronegocio;Gerente de Loja;https //www.vagas.com.br/vagas/v2372594/gerente de loja;Realizar o planejamento comercial desenvolvendo novos mercados e coordenando as acoes de vendas  Realizar a gestao das diretrizes e definir estrategias para comercializacao de insumos e servicos agricolas  Desenvolver estudos de mercado planos e programas de vendas  Realizar acompanhamento de mercado a fim de atingir os objetivos da Cooperativa  Acompanhar KPIs e avaliar os resultados metricas e indices de performance  Responsavel pela gestao de equipes buscando melhores resultado e engajamento. Outros requisitos  Formacao Superior em Engenharia Agronomica  Disponibilidade de residir em Limeira/SP  Experiencia na area Comercial (ramo do agronegocio)  Experiencia com Gestao de Pessoas  Pacote Office (intermediario).
Agronegocio;Secretaria Executiva Bilingue;https //www.vagas.com.br/vagas/v2374132/secretaria executiva bilingue;Assessorar a Direcao dando suporte em ingles e portugues.  Atuar no apoio ao diretor organizando a agenda correspondencias comunicados e outros documentos. Administrar os compromissos horarios de reunioes e viagens.Idiomas Portugues  Nivel Fluente e Ingles  Nivel FluenteOutros requisitos  Buscamos um profissional com superior completo em Secretariado Executivo Letras Administracao ou areas correlatas.  Mandatorio possuir fluencia em ingles e portugues experiencia profissional como Secretaria Executiva Bilingue e conhecimento intermediario no pacote office.  Desejavel possuir algum conhecimento em espanhol. Vivencia profissional no segmento bancario segmento do agronegocio e trading companies sera um diferencial.
Agronegocio;Gerente de Loja;https //www.vagas.com.br/vagas/v2372596/gerente de loja;Realizar o planejamento comercial desenvolvendo novos mercados e coordenando as acoes de vendas  Realizar a gestao das diretrizes e definir estrategias para comercializacao de insumos e servicos agricolas  Desenvolver estudos de mercado planos e programas de vendas  Realizar acompanhamento de mercado a fim de atingir os objetivos da Cooperativa  Acompanhar KPIs e avaliar os resultados metricas e indices de performance  Responsavel pela gestao de equipes buscando melhores resultado e engajamento. Outros requisitos  Formacao Superior em Engenharia Agronomica  Disponibilidade de residir em Birigui/SP  Experiencia na area Comercial (ramo do agronegocio)  Experiencia com Gestao de Pessoas  Pacote Office (intermediario).
Agronegocio;Consultor de Vendas Sr  Campo Grande;https //www.vagas.com.br/vagas/v2379389/consultor de vendas sr campo grande;Responsavel pela prospeccao oferta das solucoes da Plataforma Broto atendimento e relacionamento negocial com parceiros comerciais.Prospeccao participacao de reunioes eventos e pontos de controle com os sellers Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers em conjunto com time de solucoes Ministrar treinamentos e apresentacoes Construcao e execucao de planos de acao comerciais junto a Rede BB Gestao Comercial da carteira de sellers.Articulacao junto aos intervenientes do Projeto Broto para atendimento dos SellersTer disponibilidade de viagem em todo o estado de Mato Grosso do Sul.Local de trabalho  Campo Grande.Outros requisitos Desejavel conhecimento e vivencia em Plataformas Digitais/ E commerce.Marketing digital e Agronegocio.
Agronegocio;Consultor Comercial Sr  Campinas SP;https //www.vagas.com.br/vagas/v2379411/consultor comercial sr campinas sp;Responsavel pela prospeccao oferta das solucoes da Plataforma Broto atendimento e relacionamento negocial com parceiros comerciais.Prospeccao participacao de reunioes eventos e pontos de controle com os sellers Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers em conjunto com time de solucoes Ministrar treinamentos e apresentacoes Construcao e execucao de planos de acao comerciais junto a Rede BB Gestao Comercial da carteira de sellers.Articulacao junto aos intervenientes do Projeto Broto para atendimento dos SellersTer disponibilidade de viagem em toda a regiao de Campinas SP. Requisitos Escolaridade minima Formacao superior completaConhecimento em Plataformas Digitais/ E commerce Marketing digital e agronegocio
Agronegocio;Consultor Comercial Sr  Recife;https //www.vagas.com.br/vagas/v2379325/consultor comercial sr recife;Responsavel pela prospeccao oferta das solucoes da Plataforma Broto atendimento e relacionamento negocial com parceiros comerciais.Prospeccao participacao de reunioes eventos e pontos de controle com os sellers Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers em conjunto com time de solucoes Ministrar treinamentos e apresentacoes Construcao e execucao de planos de acao comerciais junto a Rede BB Gestao Comercial da carteira de sellers.Articulacao junto aos intervenientes do Projeto Broto para atendimento dos SellersTer disponibilidade de viagem em todo o estado de Pernambuco. Base de trabalho sera em Recife.Outros requisitos Desejavel conhecimento e vivencia em Plataformas Digitais/ E commerce.Marketing digital e Agronegocio
Agronegocio;Especialista Comercial;https //www.vagas.com.br/vagas/v2379318/especialista comercial;Responsavel pela prospeccao oferta das solucoes da Plataforma Broto atendimento e relacionamento negocial com parceiros comerciais. Prospeccao participacao de reunioes eventos e pontos de controle com os sellers  Apoio na elaboracao de modelos comerciais e acoes de expansao retencao e capacitacao dos sellers  Ministrar treinamentos e apresentacoes  Construcao e execucao de planos de acao comerciais junto a Rede BB  Gestao Comercial de carteira de sellers  Articulacao junto aos intervenientes do Projeto Broto para atendimento dos Sellers.  Outros requisitos  Formacao Superior Completo. Pacote Office Intermediario  Necessario bons conhecimentos na funcao com atuacao em administracao de vendas  Conhecimento em Plataformas Digitais/ E commerce  Conhecimentos desejaveis marketing digital e agronegocio.
Agronegocio;Especialista / Supervisor em Organizacao Societaria e Governanca (OSG);https //www.vagas.com.br/vagas/v2353795/especialista supervisor em organizacao societaria e governanca osg;Missao Exercer a supervisao e/ou implantar atividades relacionadas a projetos de sucessao empresarial. Principais atividades Participar do planejamento dos trabalhos do departamento de sucessao empresarial promovendo o levantamento de informacoes sobre o negocio e cultura do cliente e metodologias que serao adotadas. Elaborar o plano de acao/agenda dos projetos de sucessao empresarial juntamente com superior imediato avaliando a disponibilidade de ferramentas e de pessoas a fim de tracar estrategias necessarias para o cumprimento do trabalho de forma organizada com qualidade necessaria e dentro do prazo estabelecido  Distribuir os trabalhos dando orientacoes a respeito dos trabalhos a serem desenvolvidos visando dar melhor direcao a equipe para o inicio dos trabalhos e garantir a operacionalidade das atividades do projeto  Atuar na sistematizacao de processos para area de sucessao empresarial e assegurar o fluxo normal das metodologias de trabalho para garantir a qualidade das informacoes do suporte a equipe envolvida no projeto e ao cliente assim como atingir os resultados previstos nas estrategias  Supervisionar as atividades de sucessao empresarial em campo acompanhando a produtividade cumprimento de prazos e qualidade das informacoes. Elaborar e/ou revisar documentos juridicos (minutas contratos dentre outros) aplicando tecnicas e metodologias especificas  Estabelecer relacionamento com o cliente atraves de reunioes encontros ou outras formas de dialogos  Realizar servicos de consultoria e atendimento ao cliente com base em sua expertise fundamentacao tecnica e estrategia da empresa  Manter se atualizado acompanhando as movimentacoes e tendencias do mercado do agronegocio bem como da area de Sucessao Empresarial/Juridica  Zelar pela seguranca de outros de documentos e informacoes relacionadas ao cliente e a empresa visando preservar a integridade destes e garantir o sigilo.   Requisitos  Ensino superior completo em Direito. Pos graduacao em Direito societario sucessao empresarial ou governanca corporativa. Experiencia com direito societario ou em sucessao empresarial. Experiencia em planejamento tributario para o agronegocio. Inscricao na OAB ativa. Pacote Office. Possuir CNH. Disponibilidade para residir em Cuiaba/MT. Disponibilidade para viagens.
Agronegocio;Assistente Tecnico Comercial;https //www.vagas.com.br/vagas/v2372519/assistente tecnico comercial;Atender aos cooperados de acordo com as necessidades diarias sanando duvidas fornecendo esclarecimentos e instruindo tecnicamente Auxiliar no planejamento e suporte de vendas da equipe tecnica comercial (balcao) atendendo aos cooperados na filial ou pelo telefone auxiliando na escolha dos melhores produtos e servicos a serem aplicados em suas lavouras e plantacoes Controlar o estoque da filial conferindo o estoque fisico Efetuar lancamentos dos processos de compras registrando transacoes no sistema e gerando notas fiscais de faturamento Realizar o acompanhamento das cotacoes analisando os resultados obtidos nas analises Realizar visitas tecnicas eventuais no campo conforme solicitacao e necessidades do cooperado.   Outros requisitos  Ensino Superior Completo em Engenharia Agronomica ou Tecnico Agricola/Agropecuaria  Vivencia comercial ou tecnica no ramo do agronegocio  Ter conhecimento sobre Gestao Comercial e Gestao de Pessoas  Disponibilidade para residir em Birigui/SP.
Agronegocio;Estagio Comercial;https //www.vagas.com.br/vagas/v2380979/estagio comercial;Somos conhecidos por vender o gas que alimenta a mais de 10 milhoes de familias brasileiras em lugares que nenhuma outra energia chega. Entregamos aquele gas de cozinha (botijao de 13 kg) mas tambem instalamos tanques de diversos tamanhos em industrias agronegocios restaurantes hoteis lavanderias casas condominios alem de fornecemos cilindros para empilhadeiras.Pertencemos ao grupo holandes SHV Energy lider mundial na distribuicao de Gas LP com mais de 100 anos de experiencia no setor de energia alem de sermos uma das principais distribuidoras nacionais com 21% do mercado e 75 anos de atuacao.A Supergasbras valoriza a diversidade e acredita no potencial de desenvolvimento das pessoas. Trabalhamos com responsabilidade social e temos como estrategia a inclusao de pessoas com deficiencia (PcD) em nosso time. Caso voce seja um profissional com deficiencia e se interessou por esta vaga nao deixe de se candidatar!Outros requisitos Atua nas areas de venda direta e indireta da Supergasbras.
Agronegocio;Estagio Comercial;https //www.vagas.com.br/vagas/v2380983/estagio comercial;Somos conhecidos por vender o gas que alimenta a mais de 10 milhoes de familias brasileiras em lugares que nenhuma outra energia chega. Entregamos aquele gas de cozinha (botijao de 13 kg) mas tambem instalamos tanques de diversos tamanhos em industrias agronegocios restaurantes hoteis lavanderias casas condominios alem de fornecemos cilindros para empilhadeiras.Pertencemos ao grupo holandes SHV Energy lider mundial na distribuicao de Gas LP com mais de 100 anos de experiencia no setor de energia alem de sermos uma das principais distribuidoras nacionais com 21% do mercado e 75 anos de atuacao.A Supergasbras valoriza a diversidade e acredita no potencial de desenvolvimento das pessoas. Trabalhamos com responsabilidade social e temos como estrategia a inclusao de pessoas com deficiencia (PcD) em nosso time. Caso voce seja um profissional com deficiencia e se interessou por esta vaga nao deixe de se candidatar!Outros requisitos Atua nas areas de venda direta e indireta da Supergasbras.
Agronegocio;Supervisor de Transportes;https //www.vagas.com.br/vagas/v2374854/supervisor de transportes;Garantir o cumprimento do orcamento conciliando o melhor desempenho da frota com o menor custo e a melhor utilizacao da frota sob sua responsabilidade de acordo com o orcamento  Gerenciar e tratar desvios dos indicadores do processo bem como das metas e orcamento da area  Realizar follow up da operacao e KPIs diariamente  Realizar a gestao da equipe de motoristas e administrativa da operacao  Garantir o cumprimento da jornada dos motoristas conforme Lei 13.103/2015  Tratar anomalias do processo analisar as causar elaborar e conduzir planos de acao  Desenvolver/manter o relacionamento com clientes e fornecedores  Analisar e implantar projetos de melhorias na operacao.  Outros requisitos  Graduacao completa em logistica administracao ou areas afins  Otima vivencia como lider especialmente de equipe de Motorista  Conhecimento em manutencao de frota pesada transportes gestao de indicadores analise de resultado ferramentas de gestao controle de jornada de motorista e gerenciamento de risco Identificacao com o ramo do agronegocio  Gestao de projetos de transportes  CNH categoria B  Pacote Office preferencialmente Excel avancado. Competencias Comunicacao assertiva otimo relacionamento interpessoal planejamento criatividade iniciativa foco em resultados e interatividade.
Agronegocio;Analista de Credito Sr;https //www.vagas.com.br/vagas/v2370802/analista de credito sr;	Obter informacoes financeiras / comerciais juntamente com a area comercial ou diretamente com os clientes sendo estes insumos para alimentar as ferramentas de credito  	Emitir parecer de credito dos clientes concedendo limite e determinando prazos de recebimento de acordo com as informacoes obtidas e submeter aprovacao ao comite de credito  	Certificar se que todos os creditos aprovados estejam dentro dos criterios da politica observando a margem bruta do pedido sendo este tambem criterio de analise  	Efetuar as liberacoes de pedidos de cordo com necessidade  	Realizar acompanhamento controle e cobranca dos valores vencidos diretamente aos clientes  	Confirmar constantemente as datas e valores a receber dos grandes clientes a fim de apoiar a Tesouraria na assertividade do fluxo de caixa. Idiomas Ingles  Nivel AvancadoOutros requisitos Requisitos Indispensaveis  	Ensino Superior Completo 	Excel avancado (tabela dinamica estruturar relatorios) 	Possuir experiencia com analise de balancos patrimoniais e Imposto de renda Requisitos desejaveis  	MBA/Pos graduacao (completo/cursando) 	Ingles Avancado 	Power BI 	Conhecimento sistema Protheus 	Experiencia em analise de credito no ramo de agronegocio
